particula,masas,x,y,z
328,4.00,300.00,493.00,-114.00
329,5.00,336.00,265.00,51.00
330,2.00,215.00,451.00,133.00
331,4.00,529.00,426.00,-22.00
332,2.00,482.00,502.00,-126.00
333,5.00,377.00,203.00,-222.00
334,2.00,502.00,332.00,23.00
335,2.00,579.00,265.00,-114.00
336,1.00,487.00,299.00,-167.00
337,3.00,316.00,225.00,192.00
338,3.00,503.00,370.00,249.00
339,2.00,529.00,347.00,29.00
340,3.00,397.00,241.00,106.00
341,2.00,502.00,321.00,234.00
342,3.00,201.00,349.00,-26.00
343,2.00,248.00,319.00,-157.00
344,2.00,456.00,359.00,247.00
345,1.00,521.00,223.00,235.00
346,2.00,456.00,328.00,14.00
347,2.00,310.00,517.00,109.00
348,5.00,321.00,373.00,154.00
349,3.00,360.00,333.00,-148.00
350,5.00,517.00,395.00,-241.00
351,3.00,339.00,329.00,87.00
352,4.00,412.00,447.00,23.00
353,4.00,560.00,332.00,157.00
354,1.00,488.00,278.00,-162.00
355,1.00,355.00,411.00,-132.00
356,3.00,220.00,215.00,35.00
357,1.00,547.00,523.00,211.00
358,1.00,548.00,423.00,-45.00
359,3.00,273.00,297.00,56.00
360,3.00,607.00,475.00,260.00
361,1.00,355.00,243.00,268.00
362,5.00,473.00,316.00,-84.00
363,2.00,375.00,336.00,-230.00
364,1.00,536.00,356.00,-191.00
365,4.00,584.00,359.00,260.00
366,3.00,576.00,271.00,-5.00
367,5.00,260.00,456.00,105.00
368,3.00,539.00,463.00,204.00
369,5.00,489.00,268.00,59.00
370,1.00,247.00,270.00,209.00
371,2.00,428.00,291.00,-8.00
372,3.00,495.00,296.00,239.00
373,2.00,376.00,347.00,-55.00
374,4.00,405.00,274.00,127.00
375,3.00,267.00,468.00,142.00
376,5.00,291.00,493.00,-147.00
377,2.00,284.00,281.00,-234.00
378,3.00,390.00,341.00,128.00
379,4.00,287.00,319.00,-22.00
380,5.00,477.00,289.00,183.00
381,3.00,413.00,298.00,-116.00
382,2.00,529.00,345.00,108.00
383,2.00,439.00,417.00,-98.00
384,2.00,294.00,511.00,251.00
385,3.00,296.00,508.00,-108.00
386,1.00,505.00,285.00,-15.00
387,4.00,458.00,427.00,-180.00
388,4.00,435.00,508.00,8.00
389,3.00,580.00,549.00,-166.00
390,3.00,312.00,344.00,6.00
391,5.00,624.00,303.00,195.00
392,5.00,491.00,475.00,35.00
393,5.00,398.00,376.00,16.00
394,3.00,453.00,346.00,-175.00
395,1.00,436.00,538.00,110.00
396,5.00,353.00,321.00,33.00
397,1.00,539.00,562.00,-126.00
398,3.00,427.00,527.00,-20.00
399,4.00,500.00,272.00,204.00
400,1.00,375.00,277.00,-142.00
401,5.00,586.00,502.00,-49.00
402,5.00,522.00,489.00,-172.00
403,1.00,416.00,396.00,-149.00
404,2.00,366.00,318.00,-95.00
405,1.00,586.00,328.00,-162.00
406,2.00,464.00,336.00,-202.00
407,5.00,436.00,534.00,259.00
408,5.00,403.00,424.00,-205.00
409,4.00,611.00,512.00,-238.00
410,1.00,455.00,469.00,-204.00
411,2.00,620.00,495.00,266.00
412,5.00,658.00,543.00,183.00
413,3.00,538.00,430.00,-83.00
414,4.00,655.00,563.00,143.00
415,5.00,631.00,422.00,-61.00
416,3.00,277.00,389.00,103.00
417,3.00,371.00,504.00,-69.00
418,2.00,614.00,429.00,223.00
419,3.00,313.00,388.00,86.00
420,1.00,434.00,318.00,-1.00
421,5.00,605.00,448.00,209.00
422,4.00,453.00,328.00,-170.00
423,1.00,635.00,461.00,246.00
424,1.00,610.00,419.00,-157.00
425,3.00,374.00,576.00,-203.00
426,1.00,620.00,399.00,-69.00
427,2.00,669.00,386.00,68.00
428,3.00,359.00,592.00,-59.00
429,4.00,418.00,493.00,80.00
430,4.00,376.00,485.00,28.00
431,1.00,529.00,581.00,29.00
432,5.00,567.00,454.00,239.00
433,3.00,627.00,314.00,235.00
434,2.00,536.00,529.00,-22.00
435,4.00,637.00,564.00,249.00
436,1.00,377.00,385.00,152.00
437,5.00,348.00,298.00,192.00
438,4.00,585.00,328.00,264.00
439,1.00,534.00,318.00,34.00
440,1.00,611.00,395.00,-110.00
441,5.00,392.00,446.00,8.00
442,5.00,482.00,462.00,118.00
443,5.00,494.00,313.00,-22.00
444,5.00,572.00,475.00,59.00
445,4.00,539.00,559.00,71.00
446,2.00,490.00,607.00,251.00
447,1.00,353.00,324.00,64.00
448,3.00,472.00,383.00,154.00
449,1.00,483.00,467.00,248.00
450,4.00,562.00,529.00,232.00
451,1.00,421.00,535.00,-75.00
452,2.00,633.00,475.00,257.00
453,2.00,433.00,487.00,-122.00
454,5.00,689.00,430.00,91.00
455,4.00,357.00,323.00,-16.00
456,2.00,348.00,364.00,-121.00
457,5.00,577.00,437.00,-98.00
458,3.00,665.00,520.00,195.00
459,1.00,377.00,557.00,-55.00
460,4.00,603.00,374.00,19.00
461,2.00,633.00,439.00,-195.00
462,5.00,485.00,544.00,138.00
463,5.00,619.00,501.00,-223.00
464,1.00,584.00,519.00,132.00
465,2.00,386.00,417.00,82.00
466,4.00,631.00,405.00,24.00
467,4.00,701.00,470.00,-70.00
468,1.00,683.00,359.00,0.00
469,1.00,476.00,469.00,0.00
470,2.00,435.00,444.00,-103.00
471,2.00,541.00,398.00,-114.00
472,2.00,452.00,636.00,22.00
473,2.00,449.00,464.00,177.00
474,2.00,571.00,435.00,193.00
475,2.00,470.00,400.00,152.00
476,1.00,577.00,516.00,261.00
477,5.00,528.00,595.00,200.00
478,4.00,462.00,472.00,-199.00
479,1.00,549.00,496.00,113.00
480,3.00,475.00,633.00,175.00
481,2.00,600.00,480.00,37.00
482,3.00,403.00,441.00,47.00
483,2.00,415.00,375.00,-240.00
484,3.00,608.00,451.00,-210.00
485,5.00,409.00,436.00,134.00
486,2.00,636.00,559.00,-37.00
487,5.00,711.00,382.00,248.00
488,5.00,505.00,443.00,-198.00
489,5.00,727.00,649.00,-129.00
490,4.00,652.00,492.00,-243.00
491,4.00,521.00,377.00,257.00
492,3.00,564.00,632.00,-242.00
493,1.00,688.00,590.00,-10.00
494,1.00,389.00,649.00,249.00
495,5.00,675.00,592.00,-240.00
496,5.00,433.00,357.00,-118.00
497,1.00,394.00,582.00,-9.00
498,3.00,494.00,522.00,37.00
499,4.00,611.00,356.00,-130.00
500,3.00,574.00,403.00,265.00
501,2.00,462.00,666.00,250.00
502,3.00,486.00,490.00,-62.00
503,2.00,618.00,411.00,-229.00
504,1.00,398.00,557.00,-8.00
505,2.00,499.00,488.00,116.00
506,1.00,507.00,393.00,45.00
507,4.00,737.00,582.00,-29.00
508,2.00,599.00,393.00,264.00
509,2.00,608.00,676.00,-43.00
510,5.00,706.00,492.00,-198.00
511,4.00,730.00,503.00,-88.00
512,1.00,467.00,629.00,-220.00
513,3.00,447.00,404.00,-104.00
514,3.00,546.00,462.00,237.00
515,3.00,374.00,404.00,-63.00
516,2.00,616.00,638.00,-229.00
517,1.00,425.00,591.00,175.00
518,3.00,696.00,607.00,-45.00
519,2.00,439.00,663.00,-174.00
520,2.00,730.00,621.00,136.00
521,3.00,687.00,487.00,129.00
522,4.00,632.00,554.00,121.00
523,2.00,620.00,671.00,184.00
524,3.00,730.00,626.00,159.00
525,1.00,444.00,558.00,263.00
526,3.00,617.00,514.00,257.00
527,2.00,482.00,425.00,-85.00
528,4.00,452.00,390.00,49.00
529,3.00,488.00,572.00,175.00
530,2.00,651.00,564.00,-55.00
531,2.00,638.00,657.00,59.00
532,3.00,548.00,638.00,190.00
533,3.00,477.00,603.00,-129.00
534,2.00,609.00,489.00,155.00
535,5.00,714.00,537.00,254.00
536,3.00,559.00,577.00,-223.00
537,1.00,661.00,469.00,-19.00
538,1.00,466.00,575.00,216.00
539,5.00,665.00,694.00,-43.00
540,1.00,657.00,586.00,235.00
541,2.00,713.00,483.00,220.00
542,5.00,625.00,422.00,113.00
543,3.00,439.00,550.00,-22.00
544,5.00,575.00,396.00,263.00
545,1.00,436.00,533.00,148.00
546,1.00,397.00,491.00,255.00
547,5.00,647.00,682.00,44.00
548,2.00,728.00,502.00,129.00
549,4.00,631.00,526.00,-81.00
550,3.00,437.00,697.00,-247.00
551,3.00,664.00,462.00,-164.00
552,3.00,694.00,654.00,74.00
553,5.00,406.00,523.00,-182.00
554,5.00,629.00,674.00,97.00
555,2.00,493.00,463.00,14.00
556,3.00,752.00,520.00,258.00
557,2.00,689.00,640.00,7.00
558,2.00,487.00,466.00,214.00
559,5.00,509.00,539.00,28.00
560,5.00,701.00,558.00,-198.00
561,1.00,600.00,709.00,-234.00
562,5.00,780.00,504.00,180.00
563,4.00,551.00,705.00,53.00
564,1.00,696.00,431.00,-222.00
565,5.00,791.00,546.00,-75.00
566,3.00,705.00,646.00,-146.00
567,3.00,586.00,641.00,-104.00
568,1.00,433.00,736.00,72.00
569,3.00,762.00,626.00,-153.00
570,3.00,503.00,721.00,-214.00
571,3.00,659.00,595.00,-197.00
572,1.00,777.00,596.00,-179.00
573,3.00,820.00,581.00,-68.00
574,1.00,808.00,668.00,259.00
575,3.00,601.00,623.00,-25.00
576,4.00,574.00,610.00,192.00
577,3.00,432.00,555.00,-217.00
578,2.00,678.00,507.00,144.00
579,3.00,574.00,739.00,260.00
580,5.00,560.00,660.00,-79.00
581,4.00,481.00,719.00,211.00
582,3.00,437.00,669.00,225.00
583,1.00,681.00,716.00,-170.00
584,3.00,801.00,698.00,179.00
585,5.00,781.00,686.00,12.00
586,1.00,443.00,463.00,170.00
587,2.00,718.00,750.00,-235.00
588,4.00,675.00,727.00,179.00
589,3.00,500.00,477.00,-244.00
590,4.00,558.00,735.00,-114.00
591,2.00,462.00,536.00,185.00
592,5.00,607.00,747.00,-19.00
593,3.00,478.00,660.00,260.00
594,2.00,766.00,632.00,212.00
595,1.00,586.00,600.00,-163.00
596,1.00,712.00,685.00,166.00
597,4.00,825.00,638.00,-156.00
598,1.00,639.00,640.00,-219.00
599,4.00,803.00,493.00,-142.00
600,1.00,815.00,482.00,138.00
601,3.00,472.00,528.00,142.00
602,2.00,547.00,744.00,-60.00
603,5.00,799.00,620.00,74.00
604,2.00,489.00,557.00,127.00
605,1.00,569.00,742.00,-137.00
606,3.00,762.00,718.00,143.00
607,2.00,473.00,592.00,157.00
608,4.00,795.00,550.00,198.00
609,4.00,692.00,618.00,-201.00
610,3.00,655.00,717.00,-53.00
611,1.00,774.00,517.00,-186.00
612,2.00,790.00,463.00,187.00
613,3.00,488.00,652.00,12.00
614,2.00,780.00,621.00,234.00
615,3.00,858.00,600.00,88.00
616,5.00,742.00,509.00,203.00
617,4.00,488.00,552.00,47.00
618,4.00,684.00,585.00,-245.00
619,1.00,663.00,668.00,34.00
620,1.00,500.00,517.00,134.00
621,5.00,596.00,718.00,233.00
622,2.00,662.00,493.00,-221.00
623,2.00,648.00,780.00,135.00
624,2.00,716.00,552.00,19.00
625,3.00,496.00,711.00,-90.00
626,5.00,720.00,546.00,38.00
627,2.00,798.00,727.00,-108.00
628,2.00,501.00,612.00,198.00
629,5.00,729.00,626.00,-19.00
630,3.00,501.00,643.00,59.00
631,2.00,538.00,660.00,169.00
632,3.00,749.00,710.00,-230.00
633,1.00,834.00,486.00,-59.00
634,2.00,518.00,633.00,-57.00
635,1.00,829.00,544.00,-5.00
636,4.00,716.00,642.00,-129.00
637,2.00,572.00,494.00,200.00
638,4.00,775.00,795.00,15.00
639,2.00,646.00,625.00,72.00
640,3.00,787.00,725.00,193.00
641,3.00,814.00,598.00,24.00
642,1.00,611.00,721.00,-212.00
643,4.00,493.00,636.00,95.00
644,2.00,600.00,599.00,94.00
645,3.00,865.00,502.00,16.00
646,4.00,707.00,807.00,28.00
647,5.00,611.00,615.00,-135.00
648,5.00,520.00,615.00,-64.00
649,3.00,855.00,699.00,138.00
650,4.00,620.00,687.00,-179.00
651,5.00,646.00,641.00,-62.00
652,3.00,803.00,601.00,102.00
653,2.00,704.00,675.00,-216.00
654,3.00,835.00,526.00,267.00
655,2.00,780.00,647.00,180.00
656,3.00,771.00,605.00,175.00
657,1.00,509.00,647.00,-195.00
658,4.00,534.00,553.00,125.00
659,1.00,889.00,521.00,72.00
660,1.00,762.00,801.00,-5.00
661,2.00,849.00,603.00,-207.00
662,3.00,829.00,796.00,-12.00
663,2.00,604.00,555.00,-66.00
664,3.00,793.00,775.00,70.00
665,2.00,793.00,524.00,19.00
666,2.00,523.00,614.00,-99.00
667,3.00,725.00,683.00,-44.00
668,5.00,792.00,713.00,101.00
669,5.00,591.00,797.00,226.00
670,3.00,645.00,541.00,225.00
671,2.00,605.00,679.00,76.00
672,1.00,805.00,629.00,-182.00
673,5.00,824.00,545.00,-235.00
674,4.00,919.00,596.00,31.00
675,2.00,730.00,538.00,-28.00
676,4.00,599.00,649.00,126.00
677,1.00,730.00,647.00,102.00
678,5.00,728.00,654.00,216.00
679,1.00,766.00,556.00,137.00
680,4.00,692.00,734.00,210.00
681,5.00,593.00,678.00,52.00
682,4.00,727.00,540.00,14.00
683,3.00,598.00,788.00,-231.00
684,1.00,871.00,826.00,-166.00
685,5.00,830.00,761.00,164.00
686,5.00,923.00,618.00,-94.00
687,3.00,714.00,842.00,55.00
688,4.00,716.00,553.00,240.00
689,4.00,615.00,691.00,59.00
690,3.00,701.00,546.00,196.00
691,5.00,843.00,552.00,4.00
692,3.00,686.00,623.00,83.00
693,4.00,910.00,626.00,-25.00
694,1.00,882.00,607.00,206.00
695,5.00,624.00,654.00,32.00
696,2.00,894.00,694.00,170.00
697,4.00,901.00,860.00,182.00
698,4.00,581.00,578.00,115.00
699,5.00,563.00,632.00,146.00
700,1.00,656.00,655.00,-234.00
701,2.00,711.00,788.00,212.00
702,5.00,806.00,615.00,144.00
703,2.00,830.00,618.00,17.00
704,2.00,733.00,562.00,166.00
705,5.00,856.00,612.00,-92.00
706,5.00,610.00,649.00,-134.00
707,4.00,701.00,612.00,-27.00
708,2.00,776.00,741.00,-23.00
709,4.00,578.00,795.00,270.00
710,4.00,591.00,639.00,-45.00
711,4.00,870.00,696.00,-59.00
712,1.00,718.00,847.00,7.00
713,1.00,907.00,591.00,-61.00
714,3.00,565.00,657.00,201.00
715,1.00,760.00,802.00,209.00
716,5.00,776.00,634.00,-83.00
717,3.00,745.00,573.00,-99.00
718,3.00,830.00,836.00,123.00
719,2.00,597.00,796.00,266.00
720,5.00,762.00,707.00,139.00
721,2.00,835.00,709.00,108.00
722,2.00,688.00,656.00,-86.00
723,2.00,591.00,833.00,125.00
724,1.00,647.00,714.00,-245.00
725,4.00,850.00,824.00,-151.00
726,1.00,863.00,720.00,-7.00
727,3.00,970.00,844.00,50.00
728,4.00,964.00,666.00,-192.00
729,2.00,818.00,596.00,161.00
730,1.00,639.00,608.00,167.00
731,1.00,748.00,670.00,92.00
732,2.00,946.00,758.00,-30.00
733,3.00,745.00,627.00,-67.00
734,4.00,677.00,752.00,50.00
735,4.00,809.00,719.00,267.00
736,1.00,600.00,685.00,-19.00
737,4.00,828.00,734.00,-218.00
738,2.00,930.00,772.00,-73.00
739,4.00,745.00,805.00,0.00
740,2.00,631.00,591.00,237.00
741,1.00,779.00,682.00,256.00
742,3.00,868.00,718.00,107.00
743,3.00,801.00,737.00,220.00
744,1.00,657.00,871.00,-125.00
745,4.00,607.00,840.00,82.00
746,2.00,692.00,617.00,139.00
747,2.00,802.00,820.00,50.00
748,3.00,603.00,607.00,-238.00
749,4.00,941.00,868.00,149.00
750,1.00,712.00,631.00,-68.00
751,3.00,651.00,627.00,126.00
752,1.00,633.00,913.00,-232.00
753,5.00,866.00,725.00,-201.00
754,3.00,908.00,829.00,149.00
755,4.00,755.00,768.00,-153.00
756,1.00,759.00,898.00,230.00
757,5.00,861.00,888.00,133.00
758,4.00,641.00,617.00,-159.00
759,5.00,949.00,829.00,-219.00
760,4.00,826.00,726.00,-12.00
761,4.00,674.00,808.00,265.00
762,4.00,949.00,766.00,156.00
763,3.00,678.00,890.00,75.00
764,2.00,739.00,853.00,96.00
765,2.00,939.00,717.00,-56.00
766,1.00,869.00,878.00,187.00
767,2.00,898.00,775.00,171.00
768,1.00,998.00,635.00,-166.00
769,1.00,657.00,733.00,246.00
770,1.00,974.00,919.00,-2.00
771,1.00,848.00,676.00,181.00
772,1.00,911.00,842.00,-7.00
